appeal_id,date,district,category,text,repeat_count,true_tier,is_urgent
1,2025-03-09,Наурызбайский р-н,Соцвопросы,"Пожилой человек не может получить экстренную соцпомощь, ситуация критическая.",2,high,1
2,2025-03-18,Турксибский р-н,ЖКХ,"В подъезде перегорела лампочка на 3 этаже, просьба заменить.",0,low,0
3,2025-10-24,Ауэзовский р-н,Безопасность,"Открытый канализационный люк во дворе, дети играют рядом.",0,medium,0
4,2025-05-20,Наурызбайский р-н,ЖКХ,"Прошу проверить давление воды в кране, слабый напор третий день.",1,low,0
5,2025-07-27,Наурызбайский р-н,Дороги,"Небольшая яма на обочине, не мешает движению, но стоит подлатать.",0,low,0
6,2025-03-22,Медеуский р-н,Безопасность,"Сломано ограждение возле детской площадки на ул. Достык, дети могут выйти на дорогу.",3,medium,1
7,2025-04-19,Турксибский р-н,Дороги,"Стёрлась дорожная разметка возле мкр. Аксай, просьба обновить.",0,low,0
8,2025-09-02,Ауэзовский р-н,Благоустройство,"Не хватает урн во дворе на ул. Достык, мусор разбросан ветром.",0,low,0
9,2025-02-15,Наурызбайский р-н,Безопасность,"Тёмный двор без освещения, страшно ходить вечером, были случаи хулиганства.",1,medium,0
10,2025-04-01,Алмалинский р-н,Безопасность,Хотелось бы больше освещения во дворе для вечерних прогулок.,1,low,0
11,2025-02-13,Бостандыкский р-н,Безопасность,"Обрушение части козырька подъезда, есть угроза жизни жильцам, требуется срочный осмотр.",3,high,1
12,2025-03-13,Бостандыкский р-н,Безопасность,Просьба поставить дополнительный знак пешеходного перехода.,0,low,0
13,2025-01-08,Алмалинский р-н,Благоустройство,"Не хватает урн во дворе на мкр. Аксай, мусор разбросан ветром.",0,low,0
14,2025-06-07,Алмалинский р-н,Безопасность,"Открытый канализационный люк во дворе, дети играют рядом.",1,medium,1
15,2025-09-30,Турксибский р-н,Соцвопросы,"Не совсем понятен статус моей заявки на пособие, прошу уточнить.",0,low,0
16,2025-02-11,Медеуский р-н,Дороги,"Крупная яма на дороге по мкр. Аксай, машины объезжают по встречке.",2,medium,1
17,2025-03-01,Бостандыкский р-н,Соцвопросы,Задержка выплаты пособия на ребёнка второй месяц подряд.,1,medium,1
18,2025-10-13,Алмалинский р-н,Соцвопросы,"Не совсем понятен статус моей заявки на пособие, прошу уточнить.",0,low,0
19,2025-06-24,Медеуский р-н,Соцвопросы,"Пожилой человек не может получить экстренную соцпомощь, ситуация критическая.",4,high,1
20,2025-07-22,Турксибский р-н,Безопасность,Хотелось бы больше освещения во дворе для вечерних прогулок.,0,low,0
21,2025-03-05,Ауэзовский р-н,Благоустройство,"Не хватает урн во дворе на ул. Абая, мусор разбросан ветром.",2,low,0
22,2025-10-16,Алмалинский р-н,ЖКХ,"В подвале дома скапливается вода, появляется сырость и запах.",1,medium,0
23,2025-09-02,Турксибский р-н,Благоустройство,"Просьба покрасить лавочки во дворе, облезла краска.",0,low,1
24,2025-10-02,Турксибский р-н,Благоустройство,"Обрушился фрагмент забора стройки на пешеходную дорожку, опасно для прохожих.",0,high,1
25,2025-06-20,Наурызбайский р-н,Дороги,"Небольшая яма на обочине, не мешает движению, но стоит подлатать.",0,low,0
26,2025-04-04,Ауэзовский р-н,ЖКХ,"Батареи чуть тёплые уже неделю, в квартире холодно, дети мёрзнут.",3,medium,1
27,2025-10-16,Ауэзовский р-н,Благоустройство,"Не хватает урн во дворе на мкр. Аксай, мусор разбросан ветром.",1,low,0
28,2025-08-28,Алмалинский р-н,Соцвопросы,Прошу разъяснить порядок оформления справки в ЦОН.,0,low,0
29,2025-09-22,Турксибский р-н,Безопасность,Хотелось бы больше освещения во дворе для вечерних прогулок.,0,low,0
30,2025-07-18,Ауэзовский р-н,Дороги,"Не работает светофор на перекрёстке уже второй день, заторы.",3,medium,1
31,2025-07-15,Ауэзовский р-н,Безопасность,Хотелось бы больше освещения во дворе для вечерних прогулок.,0,low,0
32,2025-05-17,Наурызбайский р-н,Благоустройство,"Хотелось бы больше зелени во дворе, если возможно посадить деревья.",0,low,0
33,2025-04-24,Медеуский р-н,Соцвопросы,Уже месяц не могу получить ответ по заявке на пособие по инвалидности.,1,medium,0
34,2025-08-14,Ауэзовский р-н,Дороги,"Небольшая яма на обочине, не мешает движению, но стоит подлатать.",0,low,0
35,2025-02-09,Медеуский р-н,ЖКХ,"Батареи чуть тёплые уже неделю, в квартире холодно, дети мёрзнут.",0,medium,1
36,2025-07-05,Ауэзовский р-н,Благоустройство,"Просьба покрасить лавочки во дворе, облезла краска.",0,low,0
37,2025-01-30,Ауэзовский р-н,ЖКХ,"Небольшая течь под раковиной на кухне, капает медленно.",0,low,0
38,2025-06-05,Бостандыкский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,1,low,0
39,2025-02-25,Наурызбайский р-н,Дороги,"Не работает светофор на оживлённом перекрёстке, уже было ДТП сегодня.",8,high,1
40,2025-04-24,Алмалинский р-н,Безопасность,"Открытый канализационный люк во дворе, дети играют рядом.",1,medium,0
41,2025-04-25,Турксибский р-н,ЖКХ,"В подъезде перегорела лампочка на 1 этаже, просьба заменить.",2,low,0
42,2025-09-05,Наурызбайский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,1,low,0
43,2025-05-14,Наурызбайский р-н,ЖКХ,"Прошу проверить давление воды в кране, слабый напор третий день.",1,low,0
44,2025-01-10,Алмалинский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,0,low,0
45,2025-10-26,Наурызбайский р-н,Безопасность,Хотелось бы больше освещения во дворе для вечерних прогулок.,2,low,0
46,2025-02-06,Наурызбайский р-н,Безопасность,"Не горит один фонарь на ул. Толе би, вечером немного темно.",0,low,0
47,2025-03-21,Наурызбайский р-н,Благоустройство,"Не хватает урн во дворе на ул. Жандосова, мусор разбросан ветром.",0,low,0
48,2025-08-26,Наурызбайский р-н,Благоустройство,"Не хватает урн во дворе на мкр. Самал, мусор разбросан ветром.",1,low,0
49,2025-10-18,Турксибский р-н,Безопасность,"Обрушение части козырька подъезда, есть угроза жизни жильцам, требуется срочный осмотр.",2,high,1
50,2025-03-12,Медеуский р-н,Благоустройство,"Свалка строительного мусора во дворе уже неделю, портит вид и мешает проходу.",3,medium,0
51,2025-04-01,Ауэзовский р-н,Дороги,"Провалился люк на дороге, риск повредить колесо.",0,medium,0
52,2025-10-08,Наурызбайский р-н,Дороги,"Провалился люк на дороге, риск повредить колесо.",0,medium,0
53,2025-03-26,Алмалинский р-н,ЖКХ,"Отключили горячую воду без предупреждения, третий день без воды.",4,medium,0
54,2025-03-04,Ауэзовский р-н,Дороги,"Тротуар немного просел возле дома, ходить неудобно.",0,low,0
55,2025-05-21,Турксибский р-н,Благоустройство,"Хотелось бы больше зелени во дворе, если возможно посадить деревья.",0,low,0
56,2025-06-18,Наурызбайский р-н,Безопасность,"Тёмный двор без освещения, страшно ходить вечером, были случаи хулиганства.",2,medium,1
57,2025-03-08,Бостандыкский р-н,ЖКХ,"В подъезде перегорела лампочка на 7 этаже, просьба заменить.",0,low,0
58,2025-06-16,Алмалинский р-н,Благоустройство,"Сломана детская горка на площадке, дети могут пораниться.",2,medium,1
59,2025-04-29,Бостандыкский р-н,Благоустройство,"Не хватает урн во дворе на ул. Толе би, мусор разбросан ветром.",1,low,0
60,2025-04-25,Турксибский р-н,Соцвопросы,"Не совсем понятен статус моей заявки на пособие, прошу уточнить.",1,low,0
61,2025-06-23,Бостандыкский р-н,Соцвопросы,Прошу разъяснить порядок оформления справки в ЦОН.,0,low,0
62,2025-02-25,Алмалинский р-н,Благоустройство,"Не убирают снег во дворе третий день, сложно пройти с коляской.",0,medium,0
63,2025-04-22,Наурызбайский р-н,Безопасность,Хотелось бы больше освещения во дворе для вечерних прогулок.,0,low,0
64,2025-05-29,Бостандыкский р-н,Соцвопросы,"Не совсем понятен статус моей заявки на пособие, прошу уточнить.",0,low,0
65,2025-03-01,Алмалинский р-н,Дороги,"Тротуар немного просел возле дома, ходить неудобно.",0,low,0
66,2025-04-23,Турксибский р-н,ЖКХ,"В подвале дома скапливается вода, появляется сырость и запах.",1,medium,1
67,2025-09-03,Медеуский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,0,low,0
68,2025-07-11,Бостандыкский р-н,Безопасность,"Сломано ограждение возле детской площадки на мкр. Самал, дети могут выйти на дорогу.",0,medium,0
69,2025-03-28,Ауэзовский р-н,Соцвопросы,"Не совсем понятен статус моей заявки на пособие, прошу уточнить.",0,low,0
70,2025-02-28,Турксибский р-н,Благоустройство,"Сломана детская горка на площадке, дети могут пораниться.",0,medium,1
71,2025-07-06,Медеуский р-н,Дороги,"Обрушился участок дороги после ливня, движение опасно, нужен срочный выезд.",3,high,1
72,2025-02-10,Ауэзовский р-н,ЖКХ,"Прошу проверить давление воды в кране, слабый напор третий день.",0,low,0
73,2025-02-19,Ауэзовский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,0,low,0
74,2025-02-25,Медеуский р-н,ЖКХ,"Прошу проверить давление воды в кране, слабый напор третий день.",0,low,0
75,2025-09-26,Бостандыкский р-н,Безопасность,Хотелось бы больше освещения во дворе для вечерних прогулок.,0,low,0
76,2025-10-14,Алмалинский р-н,Соцвопросы,Задержка выплаты пособия на ребёнка второй месяц подряд.,1,medium,0
77,2025-07-03,Ауэзовский р-н,Соцвопросы,"Многодетная семья лишилась жилья, требуется немедленная помощь.",5,high,1
78,2025-09-13,Турксибский р-н,Дороги,"Провалился люк на дороге, риск повредить колесо.",1,medium,0
79,2025-10-06,Медеуский р-н,Безопасность,"Не горит один фонарь на мкр. Самал, вечером немного темно.",0,low,0
80,2025-08-25,Алмалинский р-н,Дороги,"Тротуар немного просел возле дома, ходить неудобно.",0,low,0
81,2025-10-09,Турксибский р-н,ЖКХ,"Небольшая течь под раковиной на кухне, капает медленно.",0,low,0
82,2025-01-11,Ауэзовский р-н,Дороги,"Тротуар немного просел возле дома, ходить неудобно.",0,low,0
83,2025-04-04,Наурызбайский р-н,ЖКХ,"Батареи чуть тёплые уже неделю, в квартире холодно, дети мёрзнут.",1,medium,1
84,2025-04-24,Бостандыкский р-н,Благоустройство,"Не убирают снег во дворе третий день, сложно пройти с коляской.",2,medium,1
85,2025-03-25,Ауэзовский р-н,Безопасность,Хотелось бы больше освещения во дворе для вечерних прогулок.,0,low,0
86,2025-01-24,Медеуский р-н,Безопасность,Просьба поставить дополнительный знак пешеходного перехода.,0,low,0
87,2025-08-10,Ауэзовский р-н,Благоустройство,"Просьба покрасить лавочки во дворе, облезла краска.",1,low,0
88,2025-05-23,Турксибский р-н,Безопасность,"Не горит один фонарь на ул. Розыбакиева, вечером немного темно.",1,low,1
89,2025-04-21,Бостандыкский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,1,low,0
90,2025-04-06,Наурызбайский р-н,Безопасность,Просьба поставить дополнительный знак пешеходного перехода.,0,low,0
91,2025-06-23,Медеуский р-н,ЖКХ,"Батареи чуть тёплые уже неделю, в квартире холодно, дети мёрзнут.",1,medium,1
92,2025-03-01,Ауэзовский р-н,Благоустройство,"Сломана детская горка на площадке, дети могут пораниться.",1,medium,0
93,2025-08-09,Наурызбайский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,0,low,0
94,2025-02-02,Алмалинский р-н,Благоустройство,"Сломана детская горка на площадке, дети могут пораниться.",2,medium,1
95,2025-02-27,Турксибский р-н,ЖКХ,"Небольшая течь под раковиной на кухне, капает медленно.",0,low,0
96,2025-08-12,Медеуский р-н,Благоустройство,"Просьба покрасить лавочки во дворе, облезла краска.",0,low,0
